"faa","name","lat","lon","alt","tz","dst","city","country"
GKA,Goroka Airport,-6.081689834590001,145.391998291,5282,10.0,U,Goroka,Papua New Guinea
MAG,Madang Airport,-5.20707988739,145.789001465,20,10.0,U,Madang,Papua New Guinea
HGU,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,5388,10.0,U,Mount Hagen,Papua New Guinea
LAE,Nadzab Airport,-6.569803,146.725977,239,10.0,U,Nadzab,Papua New Guinea
POM,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,146,10.0,U,Port Moresby,Papua New Guinea
WWK,Wewak International Airport,-3.58383011818,143.669006348,19,10.0,U,Wewak,Papua New Guinea
UAK,Narsarsuaq Airport,61.1604995728,-45.4259986877,112,-3.0,E,Narssarssuaq,Greenland
GOH,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,283,-3.0,E,Godthaab,Greenland
SFJ,Kangerlussuaq Airport,67.0122218992,-50.7116031647,165,-3.0,E,Sondrestrom,Greenland
THU,Thule Air Base,76.5311965942,-68.7032012939,251,-4.0,E,Thule,Greenland
AEY,Akureyri Airport,65.66000366210938,-18.07270050048828,6,0.0,N,Akureyri,Iceland
EGS,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,76,0.0,N,Egilsstadir,Iceland
HFN,Hornafjörður Airport,64.295601,-15.2272,24,0.0,N,Hofn,Iceland
HZK,Húsavík Airport,65.952301,-17.426001,48,0.0,N,Husavik,Iceland
IFJ,Ísafjörður Airport,66.05809783935547,-23.135299682617188,8,0.0,N,Isafjordur,Iceland
KEF,Keflavik International Airport,63.985000610352,-22.605600357056,171,0.0,N,Keflavik,Iceland
PFJ,Patreksfjörður Airport,65.555801,-23.965,11,0.0,N,Patreksfjordur,Iceland
RKV,Reykjavik Airport,64.1299972534,-21.9405994415,48,0.0,N,Reykjavik,Iceland
SIJ,Siglufjörður Airport,66.133301,-18.9167,10,0.0,N,Siglufjordur,Iceland
VEY,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,326,0.0,N,Vestmannaeyjar,Iceland
YAM,Sault Ste Marie Airport,46.48500061035156,-84.5093994140625,630,-5.0,A,Sault Sainte Marie,Canada
YAY,St. Anthony Airport,51.3918991089,-56.083099365200006,108,-3.5,A,St. Anthony,Canada
YAZ,Tofino / Long Beach Airport,49.079833,-125.775583,80,-8.0,A,Tofino,Canada
YBB,Kugaaruk Airport,68.534401,-89.808098,56,-7.0,A,Pelly Bay,Canada
YBC,Baie Comeau Airport,49.13249969482422,-68.20439910888672,71,-5.0,A,Baie Comeau,Canada
YBG,CFB Bagotville,48.33060073852539,-70.99639892578125,522,-5.0,A,Bagotville,Canada
YBK,Baker Lake Airport,64.29889678960001,-96.077796936,59,-6.0,A,Baker Lake,Canada
YBL,Campbell River Airport,49.950801849365234,-125.27100372314452,346,-8.0,A,Campbell River,Canada
YBR,Brandon Municipal Airport,49.91,-99.951897,1343,-6.0,A,Brandon,Canada
YCB,Cambridge Bay Airport,69.1081008911,-105.138000488,90,-7.0,A,Cambridge Bay,Canada
YCD,Nanaimo Airport,49.0549702249,-123.869862556,92,-8.0,A,Nanaimo,Canada
YCG,Castlegar/West Kootenay Regional Airport,49.2963981628,-117.632003784,1624,-8.0,A,Castlegar,Canada
YCH,Miramichi Airport,47.007801,-65.449203,108,-4.0,A,Chatham,Canada
YCL,Charlo Airport,47.990799,-66.330299,132,-4.0,A,Charlo,Canada
YCO,Kugluktuk Airport,67.816704,-115.143997,74,-7.0,A,Coppermine,Canada
YCT,Coronation Airport,52.0750007629,-111.444999695,2595,-7.0,A,Coronation,Canada
YCW,Chilliwack Airport,49.1528015137,-121.939002991,32,-8.0,A,Chilliwack,Canada
YCY,Clyde River Airport,70.4860992432,-68.5167007446,87,-5.0,A,Clyde River,Canada
YZS,Coral Harbour Airport,64.1932983398,-83.3593978882,210,-5.0,A,Coral Harbour,Canada
YDA,Dawson City Airport,64.04309844970703,-139.1280059814453,1215,-8.0,A,Dawson,Canada
YDB,Burwash Airport,61.37110137939453,-139.04100036621094,2647,-8.0,A,Burwash,Canada
YDF,Deer Lake Airport,49.21080017089844,-57.39139938354492,72,-3.5,A,Deer Lake,Canada
YDL,Dease Lake Airport,58.4221992493,-130.031997681,2600,-8.0,A,Dease Lake,Canada
YDN,Dauphin Barker Airport,51.10079956054688,-100.052001953125,999,-6.0,A,Dauphin,Canada
YDQ,Dawson Creek Airport,55.7422981262207,-120.18299865722656,2148,-7.0,A,Dawson Creek,Canada
YEG,Edmonton International Airport,53.3097000122,-113.580001831,2373,-7.0,A,Edmonton,Canada
YEK,Arviat Airport,61.0942001343,-94.0708007812,32,-6.0,A,Eskimo Point,Canada
YEN,Estevan Airport,49.2103004456,-102.966003418,1905,-6.0,N,Estevan,Canada
YET,Edson Airport,53.5788993835,-116.464996338,3043,-7.0,A,Edson,Canada
YEU,Eureka Airport,79.9946975708,-85.814201355,256,-6.0,A,Eureka,Canada
YEV,Inuvik Mike Zubko Airport,68.30419921880001,-133.483001709,224,-7.0,A,Inuvik,Canada
YFB,Iqaluit Airport,63.756402,-68.555801,110,-5.0,A,Iqaluit,Canada
YFC,Fredericton Airport,45.868900299072266,-66.53720092773438,68,-4.0,A,Fredericton,Canada
YFE,Forestville Airport,48.74610137939453,-69.09719848632812,293,-5.0,A,Forestville,Canada
YFO,Flin Flon Airport,54.6781005859375,-101.68199920654295,997,-6.0,A,Flin Flon,Canada
